"Order Number",Shipdate,Carrier,"Tracking Number"
2380693,2023-03-16,"Deutsche Post Cross-Border",RS929919908DE
2378904,2023-03-16,"Deutsche Post Cross-Border",RS929919911DE
2377346,2023-03-16,"Deutsche Post Cross-Border",RS929919925DE
2385987,2023-03-16,"Deutsche Post Cross-Border",LY423838875DE
2388020,2023-03-16,"Deutsche Post Cross-Border",LY423838986DE
2387942,2023-03-16,"Deutsche Post Cross-Border",LY423838969DE
2387951,2023-03-16,"Deutsche Post Cross-Border",LY423838955DE
2387790,2023-03-16,"Deutsche Post Cross-Border",RS529922557DE
2387804,2023-03-16,"Deutsche Post Cross-Border",LY423838924DE
2387593,2023-03-16,"Deutsche Post Cross-Border",LY423838884DE
2387530,2023-03-16,"Deutsche Post Cross-Border",LY423838898DE
2387622,2023-03-16,"Deutsche Post Cross-Border",LY423838915DE
2387646,2023-03-16,"Deutsche Post Cross-Border",LY423838907DE
2387723,2023-03-16,"Deutsche Post Cross-Border",RS529922543DE
2387628,2023-03-16,"Deutsche Post Cross-Border",RS529922530DE
2387597,2023-03-16,"Deutsche Post Cross-Border",LY423838867DE
2387531,2023-03-16,"Deutsche Post Cross-Border",LY423838840DE
2387556,2023-03-16,"Deutsche Post Cross-Border",LY423838853DE
2386348,2023-03-16,"Deutsche Post Cross-Border",RS929919942DE
2386348,2023-03-16,"Deutsche Post Cross-Border",RS929919956DE
2388009,2023-03-16,"Deutsche Post Cross-Border",LY423841194DE
2385555,2023-03-16,"Deutsche Post Cross-Border",LY423841177DE
2387510,2023-03-16,"Deutsche Post Cross-Border",LY423841163DE
2388046,2023-03-16,"Deutsche Post Cross-Border",LY423841185DE
2387771,2023-03-16,"Deutsche Post Cross-Border",LY423841150DE
2385217,2023-03-16,"Deutsche Post Cross-Border",RS529922910DE
2385581,2023-03-16,"Deutsche Post Cross-Border",LY423841132DE
2386722,2023-03-16,"Deutsche Post Cross-Border",LY423841129DE
2388000,2023-03-16,"Deutsche Post Cross-Border",LY423841146DE
2387516,2023-03-16,"Deutsche Post Cross-Border",LY423841115DE
2387702,2023-03-16,"Deutsche Post Cross-Border",LY423841101DE
2385235,2023-03-16,"Deutsche Post Cross-Border",LY423841092DE
2387843,2023-03-16,"Deutsche Post Cross-Border",RS529922906DE
2385462,2023-03-16,"Deutsche Post Cross-Border",LY423841061DE
2386606,2023-03-16,"Deutsche Post Cross-Border",LY423841089DE
2387540,2023-03-16,"Deutsche Post Cross-Border",RS529922897DE
2387709,2023-03-16,"Deutsche Post Cross-Border",LY423841058DE
2385166,2023-03-16,"Deutsche Post Cross-Border",LY423841075DE
2387883,2023-03-16,"Deutsche Post Cross-Border",LY423841027DE
2386686,2023-03-16,"Deutsche Post Cross-Border",LY423841044DE
2387470,2023-03-16,"Deutsche Post Cross-Border",LY423841013DE
2385109,2023-03-16,"Deutsche Post Cross-Border",RS529922883DE
2386412,2023-03-16,"Deutsche Post Cross-Border",LY423840980DE
2387733,2023-03-16,"Deutsche Post Cross-Border",LY423840993DE
2385518,2023-03-16,"Deutsche Post Cross-Border",LY423840959DE
2387890,2023-03-16,"Deutsche Post Cross-Border",LY423840976DE
2387409,2023-03-16,"Deutsche Post Cross-Border",LY423840945DE
2384524,2023-03-16,"Deutsche Post Cross-Border",LY423840931DE
2387937,2023-03-16,"Deutsche Post Cross-Border",RS529922870DE
2387623,2023-03-16,"Deutsche Post Cross-Border",LY423840928DE
2386277,2023-03-16,"Deutsche Post Cross-Border",LY423840914DE
2385343,2023-03-16,"Deutsche Post Cross-Border",RS529922866DE
2387433,2023-03-16,"Deutsche Post Cross-Border",LY423840905DE
2384403,2023-03-16,"Deutsche Post Cross-Border",LY423840891DE
2387830,2023-03-16,"Deutsche Post Cross-Border",RS529922852DE
2387589,2023-03-16,"Deutsche Post Cross-Border",RS529922849DE
2386140,2023-03-16,"Deutsche Post Cross-Border",LY423840874DE
2385353,2023-03-16,"Deutsche Post Cross-Border",LY423840888DE
2384150,2023-03-16,"Deutsche Post Cross-Border",LY423840843DE
2387367,2023-03-16,"Deutsche Post Cross-Border",LY423840857DE
2387842,2023-03-16,"Deutsche Post Cross-Border",LY423840830DE
2385355,2023-03-16,"Deutsche Post Cross-Border",RS529922835DE
2387502,2023-03-16,"Deutsche Post Cross-Border",LY423840826DE
2385839,2023-03-16,"Deutsche Post Cross-Border",LY423840812DE
2384015,2023-03-16,"Deutsche Post Cross-Border",LY423840790DE
2387066,2023-03-16,"Deutsche Post Cross-Border",LY423840786DE
2387756,2023-03-16,"Deutsche Post Cross-Border",RS529922818DE
2385374,2023-03-16,"Deutsche Post Cross-Border",LY423840772DE
2387503,2023-03-16,"Deutsche Post Cross-Border",LY423840755DE
